S.No,Crop Name,ScientificName,n,P,K,Zn,MN_Fe_B_Cu
1514,Chilli,Capsicum frutescens,High,M,M,Low,Low
1515,Cotton,Gossypium,High,M,M,Low,Low
1516,Redgram,Cajanus cajan,Low,M,Low,Low,Low
1517,Onion,Allium sepa,High,M,High,High,High
1518,Potato,Solanum tuberosum,High,High,High,Low,Low
1519,Brinjal,Solanum melongena,High,M,M,Low,Low
1520,Drumstick,Moringa oleifera,M,Low,High,Low,Low
1521,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
1522,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
1523,Banana,Musa acuminata,High,High,High,M,M
1524,Tomato,Solanum lycopersicum,High,M,M,Low,Low
1525,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
1526,Mango,Mangifera indica,High,High,M,Medium,Medium
1527,Castor,Ricinus communis,High,M,High,Medium,Low
1528,Mustard,Brassica   ,High,M,M,Low,Low
1529,Cucumber,Cucumis sativus,Low,High,High,Low,Low
1530,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
1531,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
1532,Pumpkin,Cucurbita,High,M,High,Medium,Medium
1533,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
1534,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
1535,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
1536,Sun Flower,Helianthus,High,M,M,Low,VeryLow
1537,Garlic,,High,Low,High,,VeryLow
1538,Peas,,High,Low,High,VeryLow,VeryLow
1539,Orange,,High,Low,High,VeryLow,VeryLow
1540,Celery,,High,Low,High,VeryLow,VeryLow
1541,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
1542,TableTomato,,High,Low,High,VeryLow,VeryLow
1543,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
1544,Sorghum,,M,Low,M,VeryLow,VeryLow
1545,PearlMillet,,M,Low,M,VeryLow,VeryLow
1546,Raagi,,Low,Low,Low,VeryLow,VeryLow
1547,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
1548,Barley,,Low,Low,Low,VeryLow,VeryLow
1549,ChickPea,,M,Low,M,VeryLow,VeryLow
1550,PigeonPea,,M,Low,Low,VeryLow,VeryLow
1551,SoyaBean,,High,Low,M,VeryLow,VeryLow
1552,Jute,,M,Low,M,VeryLow,VeryLow
1553,Rubber,,Low,M,Low,,
1554,Tea,,High,Low,M,,
1555,Tobacco,,High,Low,M,,
1556,Apple,,High,Low,M,,
1557,CustardApple,,M,Low,M,,
1558,WaterMelon,,High,Low,M,,
1559,Beetroot,,High,High,High,,
1560,Carrot,,High,High,M,,
1561,Rice,Oryza sativum,High,M,M,High,Medium
1562,Wheat,Triticum,High,Low,M,Medium,Medium
1563,Maize,Zea mays,High,High,Low,Low,VeryLow
1564,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
1565,Coconut,Cocus nucifera,M,High,M,Low,Low
1566,Chilli,Capsicum frutescens,High,M,M,Low,Low
1567,Cotton,Gossypium,High,M,M,Low,Low
1568,Redgram,Cajanus cajan,Low,M,Low,Low,Low
1569,Onion,Allium sepa,High,M,High,High,High
1570,Potato,Solanum tuberosum,High,High,High,Low,Low
1571,Brinjal,Solanum melongena,High,M,M,Low,Low
1572,Drumstick,Moringa oleifera,M,Low,High,Low,Low
1573,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
1574,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
1575,Banana,Musa acuminata,High,High,High,M,M
1576,Tomato,Solanum lycopersicum,High,M,M,Low,Low
1577,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
1578,Mango,Mangifera indica,High,High,M,Medium,Medium
1579,Castor,Ricinus communis,High,M,High,Medium,Low
1580,Mustard,Brassica   ,High,M,M,Low,Low
1581,Cucumber,Cucumis sativus,Low,High,High,Low,Low
1582,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
1583,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
1584,Pumpkin,Cucurbita,High,M,High,Medium,Medium
1585,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
1586,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
1587,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
1588,Sun Flower,Helianthus,High,M,M,Low,VeryLow
1589,Garlic,,High,Low,High,,VeryLow
1590,Peas,,High,Low,High,VeryLow,VeryLow
1591,Orange,,High,Low,High,VeryLow,VeryLow
1592,Celery,,High,Low,High,VeryLow,VeryLow
1593,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
1594,TableTomato,,High,Low,High,VeryLow,VeryLow
1595,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
1596,Sorghum,,M,Low,M,VeryLow,VeryLow
1597,PearlMillet,,M,Low,M,VeryLow,VeryLow
1598,Raagi,,Low,Low,Low,VeryLow,VeryLow
1599,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
1600,Barley,,Low,Low,Low,VeryLow,VeryLow
1601,ChickPea,,M,Low,M,VeryLow,VeryLow
1602,PigeonPea,,M,Low,Low,VeryLow,VeryLow
1603,SoyaBean,,High,Low,M,VeryLow,VeryLow
1604,Jute,,M,Low,M,VeryLow,VeryLow
1605,Rubber,,Low,M,Low,,
1606,Tea,,High,Low,M,,
1607,Tobacco,,High,Low,M,,
1608,Apple,,High,Low,M,,
1609,CustardApple,,M,Low,M,,
1610,WaterMelon,,High,Low,M,,
1611,Beetroot,,High,High,High,,
1612,Carrot,,High,High,M,,
1613,Rice,Oryza sativum,High,M,M,High,Medium
1614,Wheat,Triticum,High,Low,M,Medium,Medium
1615,Maize,Zea mays,High,High,Low,Low,VeryLow
1616,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
1617,Coconut,Cocus nucifera,M,High,M,Low,Low
1618,Chilli,Capsicum frutescens,High,M,M,Low,Low
1619,Cotton,Gossypium,High,M,M,Low,Low
1620,Redgram,Cajanus cajan,Low,M,Low,Low,Low
1621,Onion,Allium sepa,High,M,High,High,High
1622,Potato,Solanum tuberosum,High,High,High,Low,Low
1623,Brinjal,Solanum melongena,High,M,M,Low,Low
1624,Drumstick,Moringa oleifera,M,Low,High,Low,Low
1625,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
1626,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
1627,Banana,Musa acuminata,High,High,High,M,M
1628,Tomato,Solanum lycopersicum,High,M,M,Low,Low
1629,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
1630,Mango,Mangifera indica,High,High,M,Medium,Medium
1631,Castor,Ricinus communis,High,M,High,Medium,Low
1632,Mustard,Brassica   ,High,M,M,Low,Low
1633,Cucumber,Cucumis sativus,Low,High,High,Low,Low
1634,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
1635,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
1636,Pumpkin,Cucurbita,High,M,High,Medium,Medium
1637,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
1638,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
1639,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
1640,Sun Flower,Helianthus,High,M,M,Low,VeryLow
1641,Garlic,,High,Low,High,,VeryLow
1642,Peas,,High,Low,High,VeryLow,VeryLow
1643,Orange,,High,Low,High,VeryLow,VeryLow
1644,Celery,,High,Low,High,VeryLow,VeryLow
1645,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
1646,TableTomato,,High,Low,High,VeryLow,VeryLow
1647,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
1648,Sorghum,,M,Low,M,VeryLow,VeryLow
1649,PearlMillet,,M,Low,M,VeryLow,VeryLow
1650,Raagi,,Low,Low,Low,VeryLow,VeryLow
1651,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
1652,Barley,,Low,Low,Low,VeryLow,VeryLow
1653,ChickPea,,M,Low,M,VeryLow,VeryLow
1654,PigeonPea,,M,Low,Low,VeryLow,VeryLow
1655,SoyaBean,,High,Low,M,VeryLow,VeryLow
1656,Jute,,M,Low,M,VeryLow,VeryLow
1657,Rubber,,Low,M,Low,,
1658,Tea,,High,Low,M,,
1659,Tobacco,,High,Low,M,,
1660,Apple,,High,Low,M,,
1661,CustardApple,,M,Low,M,,
1662,WaterMelon,,High,Low,M,,
1663,Beetroot,,High,High,High,,
1664,Carrot,,High,High,M,,
1665,Rice,Oryza sativum,High,M,M,High,Medium
1666,Wheat,Triticum,High,Low,M,Medium,Medium
1667,Maize,Zea mays,High,High,Low,Low,VeryLow
1668,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
1669,Coconut,Cocus nucifera,M,High,M,Low,Low
1670,Chilli,Capsicum frutescens,High,M,M,Low,Low
1671,Cotton,Gossypium,High,M,M,Low,Low
1672,Redgram,Cajanus cajan,Low,M,Low,Low,Low
1673,Onion,Allium sepa,High,M,High,High,High
1674,Potato,Solanum tuberosum,High,High,High,Low,Low
1675,Brinjal,Solanum melongena,High,M,M,Low,Low
1676,Drumstick,Moringa oleifera,M,Low,High,Low,Low
1677,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
1678,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
1679,Banana,Musa acuminata,High,High,High,M,M
1680,Tomato,Solanum lycopersicum,High,M,M,Low,Low
1681,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
1682,Mango,Mangifera indica,High,High,M,Medium,Medium
1683,Castor,Ricinus communis,High,M,High,Medium,Low
1684,Mustard,Brassica   ,High,M,M,Low,Low
1685,Cucumber,Cucumis sativus,Low,High,High,Low,Low
1686,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
1687,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
1688,Pumpkin,Cucurbita,High,M,High,Medium,Medium
1689,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
1690,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
1691,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
1692,Sun Flower,Helianthus,High,M,M,Low,VeryLow
1693,Garlic,,High,Low,High,,VeryLow
1694,Peas,,High,Low,High,VeryLow,VeryLow
1695,Orange,,High,Low,High,VeryLow,VeryLow
1696,Celery,,High,Low,High,VeryLow,VeryLow
1697,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
1698,TableTomato,,High,Low,High,VeryLow,VeryLow
1699,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
1700,Sorghum,,M,Low,M,VeryLow,VeryLow
1701,PearlMillet,,M,Low,M,VeryLow,VeryLow
1702,Raagi,,Low,Low,Low,VeryLow,VeryLow
1703,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
1704,Barley,,Low,Low,Low,VeryLow,VeryLow
1705,ChickPea,,M,Low,M,VeryLow,VeryLow
1706,PigeonPea,,M,Low,Low,VeryLow,VeryLow
1707,SoyaBean,,High,Low,M,VeryLow,VeryLow
1708,Jute,,M,Low,M,VeryLow,VeryLow
1709,Rubber,,Low,M,Low,,
1710,Tea,,High,Low,M,,
1711,Tobacco,,High,Low,M,,
1712,Apple,,High,Low,M,,
1713,CustardApple,,M,Low,M,,
1714,WaterMelon,,High,Low,M,,
1715,Beetroot,,High,High,High,,
1716,Carrot,,High,High,M,,
1717,Rice,Oryza sativum,High,M,M,High,Medium
1718,Wheat,Triticum,High,Low,M,Medium,Medium
1719,Maize,Zea mays,High,High,Low,Low,VeryLow
1720,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
1721,Coconut,Cocus nucifera,M,High,M,Low,Low
1722,Chilli,Capsicum frutescens,High,M,M,Low,Low
1723,Cotton,Gossypium,High,M,M,Low,Low
1724,Redgram,Cajanus cajan,Low,M,Low,Low,Low
1725,Onion,Allium sepa,High,M,High,High,High
1726,Potato,Solanum tuberosum,High,High,High,Low,Low
1727,Brinjal,Solanum melongena,High,M,M,Low,Low
1728,Drumstick,Moringa oleifera,M,Low,High,Low,Low
1729,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
1730,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
1731,Banana,Musa acuminata,High,High,High,M,M
1732,Tomato,Solanum lycopersicum,High,M,M,Low,Low
1733,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
1734,Mango,Mangifera indica,High,High,M,Medium,Medium
1735,Castor,Ricinus communis,High,M,High,Medium,Low
1736,Mustard,Brassica   ,High,M,M,Low,Low
1737,Cucumber,Cucumis sativus,Low,High,High,Low,Low
1738,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
1739,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
1740,Pumpkin,Cucurbita,High,M,High,Medium,Medium
1741,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
1742,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
1743,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
1744,Sun Flower,Helianthus,High,M,M,Low,VeryLow
1745,Garlic,,High,Low,High,,VeryLow
1746,Peas,,High,Low,High,VeryLow,VeryLow
1747,Orange,,High,Low,High,VeryLow,VeryLow
1748,Celery,,High,Low,High,VeryLow,VeryLow
1749,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
1750,TableTomato,,High,Low,High,VeryLow,VeryLow
1751,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
1752,Sorghum,,M,Low,M,VeryLow,VeryLow
1753,PearlMillet,,M,Low,M,VeryLow,VeryLow
1754,Raagi,,Low,Low,Low,VeryLow,VeryLow
1755,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
1756,Barley,,Low,Low,Low,VeryLow,VeryLow
1757,ChickPea,,M,Low,M,VeryLow,VeryLow
1758,PigeonPea,,M,Low,Low,VeryLow,VeryLow
1759,SoyaBean,,High,Low,M,VeryLow,VeryLow
1760,Jute,,M,Low,M,VeryLow,VeryLow
1761,Rubber,,Low,M,Low,,
1762,Tea,,High,Low,M,,
1763,Tobacco,,High,Low,M,,
1764,Apple,,High,Low,M,,
1765,CustardApple,,M,Low,M,,
1766,WaterMelon,,High,Low,M,,
1767,Beetroot,,High,High,High,,
1768,Carrot,,High,High,M,,
1769,Rice,Oryza sativum,High,M,M,High,Medium
1770,Wheat,Triticum,High,Low,M,Medium,Medium
1771,Maize,Zea mays,High,High,Low,Low,VeryLow
1772,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
1773,Coconut,Cocus nucifera,M,High,M,Low,Low
1774,Chilli,Capsicum frutescens,High,M,M,Low,Low
1775,Cotton,Gossypium,High,M,M,Low,Low
1776,Redgram,Cajanus cajan,Low,M,Low,Low,Low
1777,Onion,Allium sepa,High,M,High,High,High
1778,Potato,Solanum tuberosum,High,High,High,Low,Low
1779,Brinjal,Solanum melongena,High,M,M,Low,Low
1780,Drumstick,Moringa oleifera,M,Low,High,Low,Low
1781,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
1782,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
1783,Banana,Musa acuminata,High,High,High,M,M
1784,Tomato,Solanum lycopersicum,High,M,M,Low,Low
1785,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
1786,Mango,Mangifera indica,High,High,M,Medium,Medium
1787,Castor,Ricinus communis,High,M,High,Medium,Low
1788,Mustard,Brassica   ,High,M,M,Low,Low
1789,Cucumber,Cucumis sativus,Low,High,High,Low,Low
1790,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
1791,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
1792,Pumpkin,Cucurbita,High,M,High,Medium,Medium
1793,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
1794,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
1795,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
1796,Sun Flower,Helianthus,High,M,M,Low,VeryLow
1797,Garlic,,High,Low,High,,VeryLow
1798,Peas,,High,Low,High,VeryLow,VeryLow
1799,Orange,,High,Low,High,VeryLow,VeryLow
1800,Celery,,High,Low,High,VeryLow,VeryLow
1801,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
1802,TableTomato,,High,Low,High,VeryLow,VeryLow
1803,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
1804,Sorghum,,M,Low,M,VeryLow,VeryLow
1805,PearlMillet,,M,Low,M,VeryLow,VeryLow
1806,Raagi,,Low,Low,Low,VeryLow,VeryLow
1807,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
1808,Barley,,Low,Low,Low,VeryLow,VeryLow
1809,ChickPea,,M,Low,M,VeryLow,VeryLow
1810,PigeonPea,,M,Low,Low,VeryLow,VeryLow
1811,SoyaBean,,High,Low,M,VeryLow,VeryLow
1812,Jute,,M,Low,M,VeryLow,VeryLow
1813,Rubber,,Low,M,Low,,
1814,Tea,,High,Low,M,,
1815,Tobacco,,High,Low,M,,
1816,Apple,,High,Low,M,,
1817,CustardApple,,M,Low,M,,
1818,WaterMelon,,High,Low,M,,
1819,Beetroot,,High,High,High,,
1820,Carrot,,High,High,M,,
1821,Rice,Oryza sativum,High,M,M,High,Medium
1822,Wheat,Triticum,High,Low,M,Medium,Medium
1823,Maize,Zea mays,High,High,Low,Low,VeryLow
1824,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
1825,Coconut,Cocus nucifera,M,High,M,Low,Low
1826,Chilli,Capsicum frutescens,High,M,M,Low,Low
1827,Cotton,Gossypium,High,M,M,Low,Low
1828,Redgram,Cajanus cajan,Low,M,Low,Low,Low
1829,Onion,Allium sepa,High,M,High,High,High
1830,Potato,Solanum tuberosum,High,High,High,Low,Low
1831,Brinjal,Solanum melongena,High,M,M,Low,Low
1832,Drumstick,Moringa oleifera,M,Low,High,Low,Low
1833,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
1834,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
1835,Banana,Musa acuminata,High,High,High,M,M
1836,Tomato,Solanum lycopersicum,High,M,M,Low,Low
1837,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
1838,Mango,Mangifera indica,High,High,M,Medium,Medium
1839,Castor,Ricinus communis,High,M,High,Medium,Low
1840,Mustard,Brassica   ,High,M,M,Low,Low
1841,Cucumber,Cucumis sativus,Low,High,High,Low,Low
1842,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
1843,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
1844,Pumpkin,Cucurbita,High,M,High,Medium,Medium
1845,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
1846,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
1847,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
1848,Sun Flower,Helianthus,High,M,M,Low,VeryLow
1849,Garlic,,High,Low,High,,VeryLow
1850,Peas,,High,Low,High,VeryLow,VeryLow
1851,Orange,,High,Low,High,VeryLow,VeryLow
1852,Celery,,High,Low,High,VeryLow,VeryLow
1853,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
1854,TableTomato,,High,Low,High,VeryLow,VeryLow
1855,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
1856,Sorghum,,M,Low,M,VeryLow,VeryLow
1857,PearlMillet,,M,Low,M,VeryLow,VeryLow
1858,Raagi,,Low,Low,Low,VeryLow,VeryLow
1859,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
1860,Barley,,Low,Low,Low,VeryLow,VeryLow
1861,ChickPea,,M,Low,M,VeryLow,VeryLow
1862,PigeonPea,,M,Low,Low,VeryLow,VeryLow
1863,SoyaBean,,High,Low,M,VeryLow,VeryLow
1864,Jute,,M,Low,M,VeryLow,VeryLow
1865,Rubber,,Low,M,Low,,
1866,Tea,,High,Low,M,,
1867,Tobacco,,High,Low,M,,
1868,Apple,,High,Low,M,,
1869,CustardApple,,M,Low,M,,
1870,WaterMelon,,High,Low,M,,
1871,Beetroot,,High,High,High,,
1872,Carrot,,High,High,M,,
1873,Rice,Oryza sativum,High,M,M,High,Medium
1874,Wheat,Triticum,High,Low,M,Medium,Medium
1875,Maize,Zea mays,High,High,Low,Low,VeryLow
1876,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
1877,Coconut,Cocus nucifera,M,High,M,Low,Low
1878,Chilli,Capsicum frutescens,High,M,M,Low,Low
1879,Cotton,Gossypium,High,M,M,Low,Low
1880,Redgram,Cajanus cajan,Low,M,Low,Low,Low
1881,Onion,Allium sepa,High,M,High,High,High
1882,Potato,Solanum tuberosum,High,High,High,Low,Low
1883,Brinjal,Solanum melongena,High,M,M,Low,Low
1884,Drumstick,Moringa oleifera,M,Low,High,Low,Low
1885,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
1886,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
1887,Banana,Musa acuminata,High,High,High,M,M
1888,Tomato,Solanum lycopersicum,High,M,M,Low,Low
1889,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
1890,Mango,Mangifera indica,High,High,M,Medium,Medium
1891,Castor,Ricinus communis,High,M,High,Medium,Low
1892,Mustard,Brassica   ,High,M,M,Low,Low
1893,Cucumber,Cucumis sativus,Low,High,High,Low,Low
1894,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
1895,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
1896,Pumpkin,Cucurbita,High,M,High,Medium,Medium
1897,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
1898,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
1899,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
1900,Sun Flower,Helianthus,High,M,M,Low,VeryLow
1901,Garlic,,High,Low,High,,VeryLow
1902,Peas,,High,Low,High,VeryLow,VeryLow
1903,Orange,,High,Low,High,VeryLow,VeryLow
1904,Celery,,High,Low,High,VeryLow,VeryLow
1905,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
1906,TableTomato,,High,Low,High,VeryLow,VeryLow
1907,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
1908,Sorghum,,M,Low,M,VeryLow,VeryLow
1909,PearlMillet,,M,Low,M,VeryLow,VeryLow
1910,Raagi,,Low,Low,Low,VeryLow,VeryLow
1911,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
1912,Barley,,Low,Low,Low,VeryLow,VeryLow
1913,ChickPea,,M,Low,M,VeryLow,VeryLow
1914,PigeonPea,,M,Low,Low,VeryLow,VeryLow
1915,SoyaBean,,High,Low,M,VeryLow,VeryLow
1916,Jute,,M,Low,M,VeryLow,VeryLow
1917,Rubber,,Low,M,Low,,
1918,Tea,,High,Low,M,,
1919,Tobacco,,High,Low,M,,
1920,Apple,,High,Low,M,,
1921,CustardApple,,M,Low,M,,
1922,WaterMelon,,High,Low,M,,
1923,Beetroot,,High,High,High,,
1924,Carrot,,High,High,M,,
1925,Rice,Oryza sativum,High,M,M,High,Medium
1926,Wheat,Triticum,High,Low,M,Medium,Medium
1927,Maize,Zea mays,High,High,Low,Low,VeryLow
1928,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
1929,Coconut,Cocus nucifera,M,High,M,Low,Low
1930,Chilli,Capsicum frutescens,High,M,M,Low,Low
1931,Cotton,Gossypium,High,M,M,Low,Low
1932,Redgram,Cajanus cajan,Low,M,Low,Low,Low
1933,Onion,Allium sepa,High,M,High,High,High
1934,Potato,Solanum tuberosum,High,High,High,Low,Low
1935,Brinjal,Solanum melongena,High,M,M,Low,Low
1936,Drumstick,Moringa oleifera,M,Low,High,Low,Low
1937,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
1938,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
1939,Banana,Musa acuminata,High,High,High,M,M
1940,Tomato,Solanum lycopersicum,High,M,M,Low,Low
1941,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
1942,Mango,Mangifera indica,High,High,M,Medium,Medium
1943,Castor,Ricinus communis,High,M,High,Medium,Low
1944,Mustard,Brassica   ,High,M,M,Low,Low
1945,Cucumber,Cucumis sativus,Low,High,High,Low,Low
1946,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
1947,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
1948,Pumpkin,Cucurbita,High,M,High,Medium,Medium
1949,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
1950,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
1951,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
1952,Sun Flower,Helianthus,High,M,M,Low,VeryLow
1953,Garlic,,High,Low,High,,VeryLow
1954,Peas,,High,Low,High,VeryLow,VeryLow
1955,Orange,,High,Low,High,VeryLow,VeryLow
1956,Celery,,High,Low,High,VeryLow,VeryLow
1957,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
1958,TableTomato,,High,Low,High,VeryLow,VeryLow
1959,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
1960,Sorghum,,M,Low,M,VeryLow,VeryLow
1961,PearlMillet,,M,Low,M,VeryLow,VeryLow
1962,Raagi,,Low,Low,Low,VeryLow,VeryLow
1963,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
1964,Barley,,Low,Low,Low,VeryLow,VeryLow
1965,ChickPea,,M,Low,M,VeryLow,VeryLow
1966,PigeonPea,,M,Low,Low,VeryLow,VeryLow
1967,SoyaBean,,High,Low,M,VeryLow,VeryLow
1968,Jute,,M,Low,M,VeryLow,VeryLow
1969,Rubber,,Low,M,Low,,
1970,Tea,,High,Low,M,,
1971,Tobacco,,High,Low,M,,
1972,Apple,,High,Low,M,,
1973,CustardApple,,M,Low,M,,
1974,WaterMelon,,High,Low,M,,
1975,Beetroot,,High,High,High,,
1976,Carrot,,High,High,M,,
1977,Rice,Oryza sativum,High,M,M,High,Medium
1978,Wheat,Triticum,High,Low,M,Medium,Medium
1979,Maize,Zea mays,High,High,Low,Low,VeryLow
1980,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
1981,Coconut,Cocus nucifera,M,High,M,Low,Low
1982,Chilli,Capsicum frutescens,High,M,M,Low,Low
1983,Cotton,Gossypium,High,M,M,Low,Low
1984,Redgram,Cajanus cajan,Low,M,Low,Low,Low
1985,Onion,Allium sepa,High,M,High,High,High
1986,Potato,Solanum tuberosum,High,High,High,Low,Low
1987,Brinjal,Solanum melongena,High,M,M,Low,Low
1988,Drumstick,Moringa oleifera,M,Low,High,Low,Low
1989,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
1990,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
1991,Banana,Musa acuminata,High,High,High,M,M
1992,Tomato,Solanum lycopersicum,High,M,M,Low,Low
1993,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
1994,Mango,Mangifera indica,High,High,M,Medium,Medium
1995,Castor,Ricinus communis,High,M,High,Medium,Low
1996,Mustard,Brassica   ,High,M,M,Low,Low
1997,Cucumber,Cucumis sativus,Low,High,High,Low,Low
1998,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
1999,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
2000,Pumpkin,Cucurbita,High,M,High,Medium,Medium
2001,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
2002,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
2003,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
2004,Sun Flower,Helianthus,High,M,M,Low,VeryLow
